name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.inventory_resources\` has RLS policies but RLS is not enabled on the table. Policies include {""Allow authenticated users to manage resources""}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""inventory_resources"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_inventory_resources
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.notifications\` has RLS policies but RLS is not enabled on the table. Policies include {""Admins can view all notifications"",""System can insert notifications"",""Users can delete their own notifications"",""Users can update their own notifications"",""Users can view their own notifications""}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""notifications"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_notifications
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.ticket_completion_images\` has RLS policies but RLS is not enabled on the table. Policies include {""Allow authenticated users to manage completion images""}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""ticket_completion_images"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_ticket_completion_images
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.ticket_estimations\` has RLS policies but RLS is not enabled on the table. Policies include {""Allow authenticated users to manage estimations""}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""ticket_estimations"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_ticket_estimations
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.notifications\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""notifications"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_notifications
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.form_options\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""form_options"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_form_options
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.physical_audits\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""physical_audits"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_physical_audits
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.inventory_resources\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""inventory_resources"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_inventory_resources
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.preventive_maintenance\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""preventive_maintenance"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_preventive_maintenance
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.ticket_estimations\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""ticket_estimations"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_ticket_estimations
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.maintenance_tickets\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""maintenance_tickets"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_maintenance_tickets
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.ticket_completion_images\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""ticket_completion_images"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_ticket_completion_images
